التسلسل,عنوان الرواية,رابط مقال الرواية,المؤلف,رابط مقال المؤلف,البلد,رابط مقال البلد
11,المجوس,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AC%D9%88%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),إبراهيم الكوني,https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%83%D9%88%D9%86%D9%8A,ليبيا,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7
12,الوشم,https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D9%88%D8%B4%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1,عبد الرحمن مجيد الربيعي,https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86_%D9%85%D8%AC%D9%8A%D8%AF_%D8%A7%D9%84%D8%B1%D8%A8%D9%8A%D8%B9%D9%8A,العراق,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82
13,الرجع البعيد,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D8%AC%D8%B9_%D8%A7%D9%84%D8%A8%D8%B9%D9%8A%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),فؤاد التكرلي,https://ar.wikipedia.org/wiki/%D9%81%D8%A4%D8%A7%D8%AF_%D8%A7%D9%84%D8%AA%D9%83%D8%B1%D9%84%D9%8A,العراق,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82
14,الشراع والعاصفة,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D8%B9_%D9%88%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%81%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),حنا مينه,https://ar.wikipedia.org/wiki/%D8%AD%D9%86%D8%A7_%D9%85%D9%8A%D9%86%D9%87,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
15,الزيني بركات,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B2%D9%8A%D9%86%D9%8A_%D8%A8%D8%B1%D9%83%D8%A7%D8%AA_(%D8%AA%D9%88%D8%B6%D9%8A%D8%AD),جمال الغيطاني,https://ar.wikipedia.org/wiki/%D8%AC%D9%85%D8%A7%D9%84_%D8%A7%D9%84%D8%BA%D9%8A%D8%B7%D8%A7%D9%86%D9%8A,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
16,ثلاثية 'سأهبك مدينة أخرى',https://ar.wikipedia.org/wiki/%D8%B3%D8%A3%D9%87%D8%A8%D9%83_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A3%D8%AE%D8%B1%D9%89_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9_%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9),أحمد إبراهيم الفقيه,https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%81%D9%82%D9%8A%D9%87,ليبيا,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7
17,أنا أحيا,https://ar.wikipedia.org/wiki/%D8%A3%D9%86%D8%A7_%D8%A3%D8%AD%D9%8A%D8%A7,ليلى بعلبكي,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%84%D9%89_%D8%A8%D8%B9%D9%84%D8%A8%D9%83%D9%8A,لبنان,https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86
18,لا أحد ينام في الإسكندرية,https://ar.wikipedia.org/wiki/%D9%84%D8%A7_%D8%A3%D8%AD%D8%AF_%D9%8A%D9%86%D8%A7%D9%85_%D9%81%D9%8A_%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9,إبراهيم عبد المجيد,https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%85%D8%AC%D9%8A%D8%AF,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
19,الحب في المنفى,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%A8_%D9%81%D9%8A_%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89,بهاء طاهر,https://ar.wikipedia.org/wiki/%D8%A8%D9%87%D8%A7%D8%A1_%D8%B7%D8%A7%D9%87%D8%B1,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
20,مدارات الشرق,https://ar.wikipedia.org/wiki/%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B4%D8%B1%D9%82,نبيل سليمان,https://ar.wikipedia.org/wiki/%D9%86%D8%A8%D9%8A%D9%84_%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
21,الوباء,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),هاني الراهب,https://ar.wikipedia.org/wiki/%D9%87%D8%A7%D9%86%D9%8A_%D8%A7%D9%84%D8%B1%D8%A7%D9%87%D8%A8,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
22,الحرام,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),يوسف ادريس,https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
23,ليلة السنوات العشر,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%84%D8%A9_%D8%A7%D9%84%D8%B3%D9%86%D9%88%D8%A7%D8%AA_%D8%A7%D9%84%D8%B9%D8%B4%D8%B1,محمد صالح الجابري,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%AD_%D8%A7%D9%84%D8%AC%D8%A7%D8%A8%D8%B1%D9%8A,تونس,https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3
24,موسم الهجرة إلى الشمال,https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B3%D9%85_%D8%A7%D9%84%D9%87%D8%AC%D8%B1%D8%A9_%D8%A5%D9%84%D9%89_%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84,الطيب صالح,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B7%D9%8A%D8%A8_%D8%B5%D8%A7%D9%84%D8%AD,السودان,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86
25,ذاكرة الجسد,https://ar.wikipedia.org/wiki/%D8%B0%D8%A7%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D8%AC%D8%B3%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),أحلام مستغانمي,https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%84%D8%A7%D9%85_%D9%85%D8%B3%D8%AA%D8%BA%D8%A7%D9%86%D9%85%D9%8A,الجزائر,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1
26,الخبز الحافي,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AE%D8%A8%D8%B2_%D8%A7%D9%84%D8%AD%D8%A7%D9%81%D9%8A,محمد شكري,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B4%D9%83%D8%B1%D9%8A,المغرب,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8
27,تشريفة آل المر,https://ar.wikipedia.org/wiki/%D8%AA%D8%B4%D8%B1%D9%8A%D9%81%D8%A9_%D8%A2%D9%84_%D8%A7%D9%84%D9%85%D8%B1,عبد الكريم ناصيف,https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85_%D9%86%D8%A7%D8%B5%D9%8A%D9%81,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
28,دار المتعة,https://ar.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D9%85%D8%AA%D8%B9%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),وليد اخلاصي,https://ar.wikipedia.org/wiki/%D9%88%D9%84%D9%8A%D8%AF_%D8%A5%D8%AE%D9%84%D8%A7%D8%B5%D9%8A,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
29,طواحين بيروت,https://ar.wikipedia.org/wiki/%D8%B7%D9%88%D8%A7%D8%AD%D9%8A%D9%86_%D8%A8%D9%8A%D8%B1%D9%88%D8%AA,توفيق يوسف عواد,https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%81%D9%8A%D9%82_%D9%8A%D9%88%D8%B3%D9%81_%D8%B9%D9%88%D8%A7%D8%AF,لبنان,https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86
30,الأفيال,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D9%81%D9%8A%D8%A7%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),فتحي غانم,https://ar.wikipedia.org/wiki/%D9%81%D8%AA%D8%AD%D9%8A_%D8%BA%D8%A7%D9%86%D9%85,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
31,نجران تحت الصفر,https://ar.wikipedia.org/wiki/%D9%86%D8%AC%D8%B1%D8%A7%D9%86_%D8%AA%D8%AD%D8%AA_%D8%A7%D9%84%D8%B5%D9%81%D8%B1,يحيي يخلف,https://ar.wikipedia.org/wiki/%D9%8A%D8%AD%D9%8A%D9%89_%D9%8A%D8%AE%D9%84%D9%81,فلسطين,https://ar.wikipedia.org/wiki/%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86
32,العشاق,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B4%D8%A7%D9%82_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),رشاد أبو شاور,https://ar.wikipedia.org/wiki/%D8%B1%D8%B4%D8%A7%D8%AF_%D8%A3%D8%A8%D9%88_%D8%B4%D8%A7%D9%88%D8%B1,فلسطين,https://ar.wikipedia.org/wiki/%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86
33,الاعتراف,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D9%81_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),علي أبو الريش,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%8A_%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D8%B1%D9%8A%D8%B4,الإمارات العربية المتحدة,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9
34,النخلة والجيران,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%AE%D9%84%D8%A9_%D9%88%D8%A7%D9%84%D8%AC%D9%8A%D8%B1%D8%A7%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),غائب طعمة فرمان,https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%A6%D8%A8_%D8%B7%D8%B9%D9%85%D8%A9_%D9%81%D8%B1%D9%85%D8%A7%D9%86,العراق,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82
35,العصفورية,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B5%D9%81%D9%88%D8%B1%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),غازي القصيبي,https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%B2%D9%8A_%D8%A7%D9%84%D9%82%D8%B5%D9%8A%D8%A8%D9%8A,السعودية,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9
36,قنديل أم هاشم,https://ar.wikipedia.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84_%D8%A3%D9%85_%D9%87%D8%A7%D8%B4%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),يحيي حقي,https://ar.wikipedia.org/wiki/%D9%8A%D8%AD%D9%8A%D9%89_%D8%AD%D9%82%D9%8A,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
37,العودة إلى المنفى,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9_%D8%A5%D9%84%D9%89_%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89,أبو المعاطي أبو النجا,https://ar.wikipedia.org/wiki/%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B7%D9%8A_%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%86%D8%AC%D8%A7,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
38,وكالة عطية,https://ar.wikipedia.org/wiki/%D9%88%D9%83%D8%A7%D9%84%D8%A9_%D8%B9%D8%B7%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),خيري شلبي,https://ar.wikipedia.org/wiki/%D8%AE%D9%8A%D8%B1%D9%8A_%D8%B4%D9%84%D8%A8%D9%8A,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
39,تماس,https://ar.wikipedia.org/wiki/%D8%AA%D9%85%D8%A7%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),عروسية النالوتي,https://ar.wikipedia.org/wiki/%D8%B9%D8%B1%D9%88%D8%B3%D9%8A%D8%A9_%D8%A7%D9%84%D9%86%D8%A7%D9%84%D9%88%D8%AA%D9%8A,تونس,https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3
40,سلطانة,https://ar.wikipedia.org/wiki/%D8%B3%D9%84%D8%B7%D8%A7%D9%86%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),غالب هلسا,https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D9%84%D8%A8_%D9%87%D9%84%D8%B3%D8%A7,الأردن,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86
41,مالك الحزين,https://ar.wikipedia.org/wiki/%D9%85%D8%A7%D9%84%D9%83_%D8%A7%D9%84%D8%AD%D8%B2%D9%8A%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),إبراهيم أصلان,https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A3%D8%B5%D9%84%D8%A7%D9%86,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
42,باب الشمس,https://ar.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8_%D8%A7%D9%84%D8%B4%D9%85%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),إلياس خوري,https://ar.wikipedia.org/wiki/%D8%A5%D9%84%D9%8A%D8%A7%D8%B3_%D8%AE%D9%88%D8%B1%D9%8A,لبنان,https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86
43,الحي اللاتيني,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D9%8A_%D8%A7%D9%84%D9%84%D8%A7%D8%AA%D9%8A%D9%86%D9%8A_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),سهيل ادريس,https://ar.wikipedia.org/wiki/%D8%B3%D9%87%D9%8A%D9%84_%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3,لبنان,https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86
44,عودة الروح,https://ar.wikipedia.org/wiki/%D8%B9%D9%88%D8%AF%D8%A9_%D8%A7%D9%84%D8%B1%D9%88%D8%AD_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),توفيق الحكيم,https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%81%D9%8A%D9%82_%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
45,الرهينة,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D9%87%D9%8A%D9%86%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),زيد مطيع دماج,https://ar.wikipedia.org/wiki/%D8%B2%D9%8A%D8%AF_%D9%85%D8%B7%D9%8A%D8%B9_%D8%AF%D9%85%D8%A7%D8%AC,اليمن,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%8A%D9%85%D9%86
46,لعبة النسيان,https://ar.wikipedia.org/wiki/%D9%84%D8%B9%D8%A8%D8%A9_%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D8%A7%D9%86,محمد برادة,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A8%D8%B1%D8%A7%D8%AF%D8%A9,المغرب,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8
47,الريح الشتوية,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D9%8A%D8%AD_%D8%A7%D9%84%D8%B4%D8%AA%D9%88%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),مبارك الربيع,https://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%A7%D8%B1%D9%83_%D8%B1%D8%A8%D9%8A%D8%B9,المغرب,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8
48,دار الباشا,https://ar.wikipedia.org/w/index.php?title=%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%A8%D8%A7%D8%B4%D8%A7_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1,حسن نصر,https://ar.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%86%D8%B5%D8%B1,تونس,https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3
49,مدينة الرياح,https://ar.wikipedia.org/w/index.php?title=%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%AD_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1,موسى ولد ابنو,https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B3%D9%89_%D9%88%D9%84%D8%AF_%D8%A7%D8%A8%D9%86%D9%88,موريتانيا,https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D8%A7
50,أبواب الروح السبعة,https://ar.wikipedia.org/w/index.php?title=%D8%A3%D8%A8%D9%88%D8%A7%D8%A8_%D8%A7%D9%84%D8%B1%D9%88%D8%AD_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9&action=edit&redlink=1,أيوب الحجلي,https://ar.wikipedia.org/wiki/%D8%A3%D9%8A%D9%88%D8%A8_%D8%A7%D9%84%D8%AD%D8%AC%D9%84%D9%8A,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
51,أيام الإنسان السبعة,https://ar.wikipedia.org/wiki/%D8%A3%D9%8A%D8%A7%D9%85_%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),عبد الحكيم قاسم,https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85_%D9%82%D8%A7%D8%B3%D9%85,مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
52,طائر الحوم,https://ar.wikipedia.org/w/index.php?title=%D8%B7%D8%A7%D8%A6%D8%B1_%D8%A7%D9%84%D8%AD%D9%88%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1,حليم بركات,https://ar.wikipedia.org/wiki/%D8%AD%D9%84%D9%8A%D9%85_%D8%A8%D8%B1%D9%83%D8%A7%D8%AA,سوريا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7
53,حكاية زهرة,https://ar.wikipedia.org/w/index.php?title=%D8%AD%D9%83%D8%A7%D9%8A%D8%A9_%D8%B2%D9%87%D8%B1%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1,حنان الشيخ,https://ar.wikipedia.org/wiki/%D8%AD%D9%86%D8%A7%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE,لبنان,https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86
